"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"ini","/home/tmichele/projects/NWT/libraryNWT/4.0","0.3.1",NA,NA,NA,NA
"ipred","/home/tmichele/projects/NWT/libraryNWT/4.0","0.9-9",NA,NA,NA,NA
"isoband","/home/tmichele/projects/NWT/libraryNWT/4.0","0.2.3",NA,NA,NA,NA
"iterators","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0.13",NA,NA,NA,NA
"itertools","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1-3",NA,NA,NA,NA
"jpeg","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1-8.1",NA,NA,NA,NA
"jquerylib","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1.3",NA,NA,NA,NA
"jsonlite","/home/tmichele/projects/NWT/libraryNWT/4.0","1.7.2",NA,NA,NA,NA
"knitr","/home/tmichele/projects/NWT/libraryNWT/4.0","1.31",NA,NA,NA,NA
"kSamples","/home/tmichele/projects/NWT/libraryNWT/4.0","1.2-9",NA,NA,NA,NA
"labeling","/home/tmichele/projects/NWT/libraryNWT/4.0","0.4.2",NA,NA,NA,NA
"LandR","/home/tmichele/projects/NWT/libraryNWT/4.0","0.0.11.9008","LandR","PredictiveEcology","development","596cea3df54dbe6c1da9198fe21b564144a25d6e"
"LandR.CS","/home/tmichele/projects/NWT/libraryNWT/4.0","0.0.2.0002","LandR.CS","ianmseddy","master","ed32965b560a38b13ecb28fd4f851c2d378448da"
"later","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1.0.1",NA,NA,NA,NA
"latticeExtra","/home/tmichele/projects/NWT/libraryNWT/4.0","0.6-29",NA,NA,NA,NA
"lava","/home/tmichele/projects/NWT/libraryNWT/4.0","1.6.8.1",NA,NA,NA,NA
"lazyeval","/home/tmichele/projects/NWT/libraryNWT/4.0","0.2.2",NA,NA,NA,NA
"leaflet","/home/tmichele/projects/NWT/libraryNWT/4.0","2.0.4.1",NA,NA,NA,NA
"leaflet.providers","/home/tmichele/projects/NWT/libraryNWT/4.0","1.9.0",NA,NA,NA,NA
"lifecycle","/home/tmichele/projects/NWT/libraryNWT/4.0","0.2.0",NA,NA,NA,NA
"lintr","/home/tmichele/projects/NWT/libraryNWT/4.0","2.0.1.9000","lintr","jimhester","6d6f837b294fbb21d964807273965e2799281e24","6d6f837b294fbb21d964807273965e2799281e24"
"listenv","/home/tmichele/projects/NWT/libraryNWT/4.0","0.8.0",NA,NA,NA,NA
"littler","/home/tmichele/projects/NWT/libraryNWT/4.0","0.3.12",NA,NA,NA,NA
"lme4","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1-26",NA,NA,NA,NA
"logging","/home/tmichele/projects/NWT/libraryNWT/4.0","0.10-108",NA,NA,NA,NA
"lubridate","/home/tmichele/projects/NWT/libraryNWT/4.0","1.7.9.2",NA,NA,NA,NA
"magick","/home/tmichele/projects/NWT/libraryNWT/4.0","2.6.0",NA,NA,NA,NA
"magrittr","/home/tmichele/projects/NWT/libraryNWT/4.0","2.0.1",NA,NA,NA,NA
"map","/home/tmichele/projects/NWT/libraryNWT/4.0","0.0.1","map","PredictiveEcology","b5f041e37f79f53d22e63172c6c9cece4d7739ba","b5f041e37f79f53d22e63172c6c9cece4d7739ba"
"mapproj","/home/tmichele/projects/NWT/libraryNWT/4.0","1.2.7",NA,NA,NA,NA
"maps","/home/tmichele/projects/NWT/libraryNWT/4.0","3.3.0",NA,NA,NA,NA
"maptools","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0-2",NA,NA,NA,NA
"markdown","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1",NA,NA,NA,NA
"Matrix","/home/tmichele/projects/NWT/libraryNWT/4.0","1.3-2",NA,NA,NA,NA
"MatrixModels","/home/tmichele/projects/NWT/libraryNWT/4.0","0.4-1",NA,NA,NA,NA
"matrixStats","/home/tmichele/projects/NWT/libraryNWT/4.0","0.57.0",NA,NA,NA,NA
"memoise","/home/tmichele/projects/NWT/libraryNWT/4.0","2.0.0",NA,NA,NA,NA
"merTools","/home/tmichele/projects/NWT/libraryNWT/4.0","0.5.2",NA,NA,NA,NA
"microbenchmark","/home/tmichele/projects/NWT/libraryNWT/4.0","1.4-7",NA,NA,NA,NA
"mime","/home/tmichele/projects/NWT/libraryNWT/4.0","0.9",NA,NA,NA,NA
"miniUI","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1.1.1",NA,NA,NA,NA
"minqa","/home/tmichele/projects/NWT/libraryNWT/4.0","1.2.4",NA,NA,NA,NA
"ModelMetrics","/home/tmichele/projects/NWT/libraryNWT/4.0","1.2.2.2",NA,NA,NA,NA
"MuMIn","/home/tmichele/projects/NWT/libraryNWT/4.0","1.43.17",NA,NA,NA,NA
"munsell","/home/tmichele/projects/NWT/libraryNWT/4.0","0.5.0",NA,NA,NA,NA
"mvtnorm","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1-1",NA,NA,NA,NA
"nlme","/home/tmichele/projects/NWT/libraryNWT/4.0","3.1-151",NA,NA,NA,NA
"nloptr","/home/tmichele/projects/NWT/libraryNWT/4.0","1.2.2.2",NA,NA,NA,NA
"nnet","/home/tmichele/projects/NWT/libraryNWT/4.0","7.3-15",NA,NA,NA,NA
"nortest","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0-4",NA,NA,NA,NA
"numDeriv","/home/tmichele/projects/NWT/libraryNWT/4.0","2016.8-1.1",NA,NA,NA,NA
"openssl","/home/tmichele/projects/NWT/libraryNWT/4.0","1.4.3",NA,NA,NA,NA
"openxlsx","/home/tmichele/projects/NWT/libraryNWT/4.0","4.2.3",NA,NA,NA,NA
"pals","/home/tmichele/projects/NWT/libraryNWT/4.0","1.6",NA,NA,NA,NA
"parallelly","/home/tmichele/projects/NWT/libraryNWT/4.0","1.23.0",NA,NA,NA,NA
"pbkrtest","/home/tmichele/projects/NWT/libraryNWT/4.0","0.5-0.1",NA,NA,NA,NA
"pemisc","/home/tmichele/projects/NWT/libraryNWT/4.0","0.0.2.9001","pemisc","PredictiveEcology","5ae26054f42d48701cd3be87ba66662193891fe8","5ae26054f42d48701cd3be87ba66662193891fe8"
"peutils","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1.0","peutils","PredictiveEcology","440c37f4cee039b860025bb0a9ceddd68d81739e","440c37f4cee039b860025bb0a9ceddd68d81739e"
"pillar","/home/tmichele/projects/NWT/libraryNWT/4.0","1.4.7",NA,NA,NA,NA
"pkgbuild","/home/tmichele/projects/NWT/libraryNWT/4.0","1.2.0",NA,NA,NA,NA
"pkgconfig","/home/tmichele/projects/NWT/libraryNWT/4.0","2.0.3",NA,NA,NA,NA
"pkgload","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1.0",NA,NA,NA,NA
"plogr","/home/tmichele/projects/NWT/libraryNWT/4.0","0.2.0",NA,NA,NA,NA
"plyr","/home/tmichele/projects/NWT/libraryNWT/4.0","1.8.6",NA,NA,NA,NA
"png","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1-7",NA,NA,NA,NA
"polynom","/home/tmichele/projects/NWT/libraryNWT/4.0","1.4-0",NA,NA,NA,NA
"praise","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0.0",NA,NA,NA,NA
"prettyunits","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1.1",NA,NA,NA,NA
"pROC","/home/tmichele/projects/NWT/libraryNWT/4.0","1.17.0.1",NA,NA,NA,NA
"processx","/home/tmichele/projects/NWT/libraryNWT/4.0","3.4.5",NA,NA,NA,NA
"prodlim","/home/tmichele/projects/NWT/libraryNWT/4.0","2019.11.13",NA,NA,NA,NA
"progress","/home/tmichele/projects/NWT/libraryNWT/4.0","1.2.2",NA,NA,NA,NA
"promises","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1.1",NA,NA,NA,NA
"pryr","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1.4",NA,NA,NA,NA
"ps","/home/tmichele/projects/NWT/libraryNWT/4.0","1.5.0",NA,NA,NA,NA
"purrr","/home/tmichele/projects/NWT/libraryNWT/4.0","0.3.4",NA,NA,NA,NA
"qs","/home/tmichele/projects/NWT/libraryNWT/4.0","0.23.5",NA,NA,NA,NA
"quantreg","/home/tmichele/projects/NWT/libraryNWT/4.0","5.83",NA,NA,NA,NA
"quickPlot","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1.6",NA,NA,NA,NA
"R.methodsS3","/home/tmichele/projects/NWT/libraryNWT/4.0","1.8.1",NA,NA,NA,NA
"R.oo","/home/tmichele/projects/NWT/libraryNWT/4.0","1.24.0",NA,NA,NA,NA
"R.utils","/home/tmichele/projects/NWT/libraryNWT/4.0","2.10.1",NA,NA,NA,NA
"R6","/home/tmichele/projects/NWT/libraryNWT/4.0","2.5.0",NA,NA,NA,NA
"RandomFields","/home/tmichele/projects/NWT/libraryNWT/4.0","3.3.8",NA,NA,NA,NA
"RandomFieldsUtils","/home/tmichele/projects/NWT/libraryNWT/4.0","0.5.3",NA,NA,NA,NA
"RApiSerialize","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1.0",NA,NA,NA,NA
"rappdirs","/home/tmichele/projects/NWT/libraryNWT/4.0","0.3.2",NA,NA,NA,NA
"raster","/home/tmichele/projects/NWT/libraryNWT/4.0","3.4-5",NA,NA,NA,NA
"rasterVis","/home/tmichele/projects/NWT/libraryNWT/4.0","0.49",NA,NA,NA,NA
"rcartocolor","/home/tmichele/projects/NWT/libraryNWT/4.0","2.0.0",NA,NA,NA,NA
"rcmdcheck","/home/tmichele/projects/NWT/libraryNWT/4.0","1.3.3",NA,NA,NA,NA
"RColorBrewer","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1-2",NA,NA,NA,NA
"Rcpp","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0.6",NA,NA,NA,NA
"RcppArmadillo","/home/tmichele/projects/NWT/libraryNWT/4.0","0.10.1.2.2",NA,NA,NA,NA
"RcppEigen","/home/tmichele/projects/NWT/libraryNWT/4.0","0.3.3.9.1",NA,NA,NA,NA
"RcppParallel","/home/tmichele/projects/NWT/libraryNWT/4.0","5.0.2",NA,NA,NA,NA
"RCurl","/home/tmichele/projects/NWT/libraryNWT/4.0","1.98-1.2",NA,NA,NA,NA
"readr","/home/tmichele/projects/NWT/libraryNWT/4.0","1.4.0",NA,NA,NA,NA
"readxl","/home/tmichele/projects/NWT/libraryNWT/4.0","1.3.1",NA,NA,NA,NA
"recipes","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1.15",NA,NA,NA,NA
"rematch","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0.1",NA,NA,NA,NA
"rematch2","/home/tmichele/projects/NWT/libraryNWT/4.0","2.1.2",NA,NA,NA,NA
"remotes","/home/tmichele/projects/NWT/libraryNWT/4.0","2.2.0",NA,NA,NA,NA
"reproducible","/home/tmichele/projects/NWT/libraryNWT/4.0","1.2.4",NA,NA,NA,NA
"Require","/home/tmichele/projects/NWT/libraryNWT/4.0","0.0.11","Require","PredictiveEcology","master","dfb82423f0358b558474007a82c77117e532e179"
"reshape2","/home/tmichele/projects/NWT/libraryNWT/4.0","1.4.4",NA,NA,NA,NA
"rex","/home/tmichele/projects/NWT/libraryNWT/4.0","1.2.0",NA,NA,NA,NA
"rgdal","/home/tmichele/projects/NWT/libraryNWT/4.0","1.5-21",NA,NA,NA,NA
"rgeos","/home/tmichele/projects/NWT/libraryNWT/4.0","0.5-5",NA,NA,NA,NA
"rio","/home/tmichele/projects/NWT/libraryNWT/4.0","0.5.16",NA,NA,NA,NA
"rlang","/home/tmichele/projects/NWT/libraryNWT/4.0","0.4.10",NA,NA,NA,NA
"rmarkdown","/home/tmichele/projects/NWT/libraryNWT/4.0","2.6",NA,NA,NA,NA
"roxygen2","/home/tmichele/projects/NWT/libraryNWT/4.0","7.1.1",NA,NA,NA,NA
"rprojroot","/home/tmichele/projects/NWT/libraryNWT/4.0","2.0.2",NA,NA,NA,NA
"RSQLite","/home/tmichele/projects/NWT/libraryNWT/4.0","2.2.3",NA,NA,NA,NA
"rstatix","/home/tmichele/projects/NWT/libraryNWT/4.0","0.6.0",NA,NA,NA,NA
"rstudioapi","/home/tmichele/projects/NWT/libraryNWT/4.0","0.13",NA,NA,NA,NA
"rvcheck","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1.8",NA,NA,NA,NA
"rversions","/home/tmichele/projects/NWT/libraryNWT/4.0","2.0.2",NA,NA,NA,NA
"sass","/home/tmichele/projects/NWT/libraryNWT/4.0","0.3.1",NA,NA,NA,NA
"scales","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1.1",NA,NA,NA,NA
"scam","/home/tmichele/projects/NWT/libraryNWT/4.0","1.2-9",NA,NA,NA,NA
"sessioninfo","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1.1",NA,NA,NA,NA
"sf","/home/tmichele/projects/NWT/libraryNWT/4.0","0.9-7",NA,NA,NA,NA
"shiny","/home/tmichele/projects/NWT/libraryNWT/4.0","1.6.0",NA,NA,NA,NA
"showtext","/home/tmichele/projects/NWT/libraryNWT/4.0","0.9-2",NA,NA,NA,NA
"showtextdb","/home/tmichele/projects/NWT/libraryNWT/4.0","3.0",NA,NA,NA,NA
"sourcetools","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1.7",NA,NA,NA,NA
"sp","/home/tmichele/projects/NWT/libraryNWT/4.0","1.4-5",NA,NA,NA,NA
"SpaDES","/home/tmichele/projects/NWT/libraryNWT/4.0","2.0.6",NA,NA,NA,NA
"SpaDES.addins","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1.2","SpaDES.addins","PredictiveEcology","development","de8a9d6b348cc77f3637da6749e2887a4b5c9521"
"SpaDES.core","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0.5",NA,NA,NA,NA
"SpaDES.experiment","/home/tmichele/projects/NWT/libraryNWT/4.0","0.0.1","SpaDES.experiment","PredictiveEcology","master","d3226a92bc70a4e8ebd5f41f76808e6c2c29361d"
"SpaDES.tools","/home/tmichele/projects/NWT/libraryNWT/4.0","0.3.6",NA,NA,NA,NA
"SparseM","/home/tmichele/projects/NWT/libraryNWT/4.0","1.78",NA,NA,NA,NA
"spatial","/home/tmichele/projects/NWT/libraryNWT/4.0","7.3-13",NA,NA,NA,NA
"spelling","/home/tmichele/projects/NWT/libraryNWT/4.0","2.2",NA,NA,NA,NA
"SQUAREM","/home/tmichele/projects/NWT/libraryNWT/4.0","2021.1",NA,NA,NA,NA
