"","Polygon","area","average_femaleSurvival","average_recruitment","stdErr_femaleSurvival","stdErr_recruitment","annualLambda","annualLambdaMax","annualLambdaMin","femSurvMod_recrMod","climateModel","Replicate","Year","minRib","maxRib","averageannualLambda"
"724","Dehcho South_v2","metaHeards",0.848419943913471,0.196564897137507,0.0530575609478348,0.097982959050187,0.940893234879172,1.21542377394422,0.772898491637402,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2071",0.771832378420729,1.21542377394422,0.939702113331688
"725","GSA North","metaHeards",0.862994051590464,0.2886630838985,0.0412543253784183,0.102594981765487,1.00856125228269,1.23572633748007,0.839045721143494,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2071",0.812203067736235,1.27230922898328,1.00849380272409
"726","GSA North","metaHeards",0.862994051590464,0.2886630838985,0.0412543253784183,0.102594981765487,1.00856125228269,1.23572633748007,0.839045721143494,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2071",0.812203067736235,1.27230922898328,1.00849380272409
"727","GSA South","metaHeards",0.862673643431641,0.234438748887559,0.0448757875444259,0.0899229656366866,0.977223127079946,1.19087407633873,0.820572966112403,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2071",0.810150616165017,1.24693070895254,0.983584483335191
"728","GSA South","metaHeards",0.862673643431641,0.234438748887559,0.0448757875444259,0.0899229656366866,0.977223127079946,1.19087407633873,0.820572966112403,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2071",0.810150616165017,1.24693070895254,0.983584483335191
"729","Hay River Lowlands","metaHeards",0.860089892313106,0.222690359783779,0.0414735601607964,0.0994327184508567,0.967855991833219,1.21487949213972,0.843944622124667,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2071",0.792238382183157,1.21487949213972,0.968594205551572
"730","Hay River Lowlands","metaHeards",0.860089892313106,0.222690359783779,0.0414735601607964,0.0994327184508567,0.967855991833219,1.21487949213972,0.843944622124667,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2071",0.792238382183157,1.21487949213972,0.968594205551572
"731","Dehcho North_v2","metaHeards",0.8585256697528,0.235220155553666,0.0428445071168846,0.0942661459603802,0.972954980707122,1.1782655953015,0.795677074527953,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2071",0.783083506147522,1.21500520627135,0.974554060806861
"732","Dehcho North_v2","metaHeards",0.8585256697528,0.235220155553666,0.0428445071168846,0.0942661459603802,0.972954980707122,1.1782655953015,0.795677074527953,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2071",0.783083506147522,1.21500520627135,0.974554060806861
"733","Dehcho South_v2","metaHeards",0.846018387176357,0.196564897137507,0.0445446059011348,0.097982959050187,0.93822992114717,1.191738179853,0.782359633549167,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2071",0.768541702266677,1.191738179853,0.937313351573873
"734","Dehcho South_v2","metaHeards",0.846018387176357,0.196564897137507,0.0445446059011348,0.097982959050187,0.93822992114717,1.191738179853,0.782359633549167,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2071",0.768541702266677,1.191738179853,0.937313351573873
"735","GSA North","metaHeards",0.860076770121068,0.2886630838985,0.0506531027250949,0.102594981765487,1.00515189268559,1.25256805309599,0.809379838998595,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2071",0.809379838998595,1.25889427093143,1.00509776257103
"736","GSA North","metaHeards",0.860076770121068,0.2886630838985,0.0506531027250949,0.102594981765487,1.00515189268559,1.25256805309599,0.809379838998595,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2071",0.809379838998595,1.25889427093143,1.00509776257103
"737","GSA South","metaHeards",0.864017390378462,0.234438748887559,0.0455240427435713,0.0899229656366866,0.978745302474285,1.16812312687731,0.806628190061577,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2071",0.788975135740041,1.23068586471168,0.983968828543444
"738","GSA South","metaHeards",0.864017390378462,0.234438748887559,0.0455240427435713,0.0899229656366866,0.978745302474285,1.16812312687731,0.806628190061577,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2071",0.788975135740041,1.23068586471168,0.983968828543444
"739","Hay River Lowlands","metaHeards",0.861167434256909,0.222690359783779,0.0428557439333129,0.0994327184508567,0.969068545818659,1.20702059955308,0.811272569600525,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2071",0.753363071942413,1.20702059955308,0.969666237199208
"740","Hay River Lowlands","metaHeards",0.861167434256909,0.222690359783779,0.0428557439333129,0.0994327184508567,0.969068545818659,1.20702059955308,0.811272569600525,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2071",0.753363071942413,1.20702059955308,0.969666237199208
"741","Dehcho North_v2","metaHeards",0.859119738179433,0.235734483303577,0.0481235313565458,0.0949292992781179,0.973912067145233,1.1992657888895,0.802546853722845,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2081",0.798572547123679,1.24180292094091,0.976483161706903
"742","Dehcho North_v2","metaHeards",0.859119738179433,0.235734483303577,0.0481235313565458,0.0949292992781179,0.973912067145233,1.1992657888895,0.802546853722845,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2081",0.798572547123679,1.24180292094091,0.976483161706903
"743","Dehcho South_v2","metaHeards",0.848419943913471,0.197817106078933,0.0441087318552193,0.100186405638399,0.941546994786458,1.15475162021333,0.769522306446038,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2081",0.737302261664492,1.16314057603644,0.939460523511822
"744","Dehcho South_v2","metaHeards",0.848419943913471,0.197817106078933,0.0441087318552193,0.100186405638399,0.941546994786458,1.15475162021333,0.769522306446038,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2081",0.737302261664492,1.16314057603644,0.939460523511822
"745","GSA North","metaHeards",0.862994051590464,0.284079388265672,0.0417306930245745,0.0931948695663036,1.00586710794063,1.24890958453849,0.848328014689922,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2081",0.811887832466711,1.24890958453849,1.00630370420419
"746","GSA North","metaHeards",0.862994051590464,0.284079388265672,0.0417306930245745,0.0931948695663036,1.00586710794063,1.24890958453849,0.848328014689922,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2081",0.811887832466711,1.24890958453849,1.00630370420419
"747","GSA South","metaHeards",0.862673643431641,0.2354361904934,0.0431183908103114,0.0969274894794507,0.977775514587776,1.19625332321799,0.797906428228702,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2081",0.791126365099237,1.26214534959906,0.983147640128276
"748","GSA South","metaHeards",0.862673643431641,0.2354361904934,0.0431183908103114,0.0969274894794507,0.977775514587776,1.19625332321799,0.797906428228702,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2081",0.791126365099237,1.26214534959906,0.983147640128276
"749","Hay River Lowlands","metaHeards",0.860089892313106,0.230069744568688,0.0411830859799258,0.0991450729327569,0.971891281787838,1.17969448691169,0.805858814045703,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2081",0.792808828486546,1.22598260610072,0.969643312518177
"750","Hay River Lowlands","metaHeards",0.860089892313106,0.230069744568688,0.0411830859799258,0.0991450729327569,0.971891281787838,1.17969448691169,0.805858814045703,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2081",0.792808828486546,1.22598260610072,0.969643312518177
"751","Dehcho North_v2","metaHeards",0.858479370114631,0.235734483303577,0.0491188336731378,0.0949292992781179,0.973186135522423,1.22102876352711,0.796198383532662,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2081",0.772463845728967,1.22102876352711,0.975286699082397
"752","Dehcho North_v2","metaHeards",0.858479370114631,0.235734483303577,0.0491188336731378,0.0949292992781179,0.973186135522423,1.22102876352711,0.796198383532662,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2081",0.772463845728967,1.22102876352711,0.975286699082397
"753","Dehcho South_v2","metaHeards",0.845885744920804,0.197817106078933,0.0508694378408529,0.100186405638399,0.938734628737246,1.17894106838861,0.758188563646988,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2081",0.758188563646988,1.17894106838861,0.937129615749715
"754","Dehcho South_v2","metaHeards",0.845885744920804,0.197817106078933,0.0508694378408529,0.100186405638399,0.938734628737246,1.17894106838861,0.758188563646988,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2081",0.758188563646988,1.17894106838861,0.937129615749715
"755","GSA North","metaHeards",0.860416758183805,0.284079388265672,0.0455703333444699,0.0931948695663036,1.00286313049665,1.25084598409518,0.832962546403739,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2081",0.805356360905617,1.25084598409518,1.00323757367756
"756","GSA North","metaHeards",0.860416758183805,0.284079388265672,0.0455703333444699,0.0931948695663036,1.00286313049665,1.25084598409518,0.832962546403739,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2081",0.805356360905617,1.25084598409518,1.00323757367756
"757","GSA South","metaHeards",0.863926821176182,0.2354361904934,0.0455352426928065,0.0969274894794507,0.979195897050331,1.18594529513045,0.808391890081111,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2081",0.782615337272947,1.25622705854096,0.983622221538574
"758","GSA South","metaHeards",0.863926821176182,0.2354361904934,0.0455352426928065,0.0969274894794507,0.979195897050331,1.18594529513045,0.808391890081111,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2081",0.782615337272947,1.25622705854096,0.983622221538574
"759","Hay River Lowlands","metaHeards",0.860474521978732,0.230069744568688,0.0495560931009536,0.0991450729327569,0.972325908705419,1.21530960729905,0.790499756988015,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2081",0.780851890939477,1.22249622606825,0.9705164479283
"760","Hay River Lowlands","metaHeards",0.860474521978732,0.230069744568688,0.0495560931009536,0.0991450729327569,0.972325908705419,1.21530960729905,0.790499756988015,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2081",0.780851890939477,1.22249622606825,0.9705164479283
"761","Dehcho North_v2","metaHeards",0.859119738179433,0.236574852152923,0.0430879277723981,0.0954765506953132,0.974376189687792,1.16059114661993,0.814606395932648,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2091",0.783332621628466,1.2181519693621,0.975378555030447
"762","Dehcho North_v2","metaHeards",0.859119738179433,0.236574852152923,0.0430879277723981,0.0954765506953132,0.974376189687792,1.16059114661993,0.814606395932648,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2091",0.783332621628466,1.2181519693621,0.975378555030447
"763","Dehcho South_v2","metaHeards",0.848419943913471,0.193521750017487,0.0460964678709023,0.0833938647497982,0.939308230167381,1.14944562483839,0.775133820184578,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2091",0.770636608602492,1.14944562483839,0.938216957405321
"764","Dehcho South_v2","metaHeards",0.848419943913471,0.193521750017487,0.0460964678709023,0.0833938647497982,0.939308230167381,1.14944562483839,0.775133820184578,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2091",0.770636608602492,1.14944562483839,0.938216957405321
"765","GSA North","metaHeards",0.862994051590464,0.281988673827121,0.050735723188275,0.105262860739881,1.00464302934825,1.24390101567899,0.789290611319453,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2091",0.789290611319453,1.26160795238766,1.00502000448489
"766","GSA North","metaHeards",0.862994051590464,0.281988673827121,0.050735723188275,0.105262860739881,1.00464302934825,1.24390101567899,0.789290611319453,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2091",0.789290611319453,1.26160795238766,1.00502000448489
"767","GSA South","metaHeards",0.862673643431641,0.232326692306092,0.0352466275730516,0.0935873645108774,0.976055518490662,1.18496890589121,0.812735399594771,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2091",0.80107177619656,1.23467241956894,0.98395191750239
"768","GSA South","metaHeards",0.862673643431641,0.232326692306092,0.0352466275730516,0.0935873645108774,0.976055518490662,1.18496890589121,0.812735399594771,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2091",0.80107177619656,1.23467241956894,0.98395191750239
"769","Hay River Lowlands","metaHeards",0.860089892313106,0.2245498434874,0.0392782167354289,0.0906618860748299,0.968869657262048,1.15534210745073,0.820019008549321,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2091",0.777494815395225,1.22993027195862,0.968187573003942
"770","Hay River Lowlands","metaHeards",0.860089892313106,0.2245498434874,0.0392782167354289,0.0906618860748299,0.968869657262048,1.15534210745073,0.820019008549321,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2091",0.777494815395225,1.22993027195862,0.968187573003942
"771","Dehcho North_v2","metaHeards",0.85840394262909,0.236574852152923,0.0482050727861504,0.0954765506953132,0.97356436554973,1.16850922779878,0.795192045465438,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2091",0.77602050516114,1.21155443051909,0.974382555241041
"772","Dehcho North_v2","metaHeards",0.85840394262909,0.236574852152923,0.0482050727861504,0.0954765506953132,0.97356436554973,1.16850922779878,0.795192045465438,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2091",0.77602050516114,1.21155443051909,0.974382555241041
"773","Dehcho South_v2","metaHeards",0.846344380802192,0.193521750017487,0.0453787252439222,0.0833938647497982,0.937010319178086,1.13291894958328,0.779126254617844,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2091",0.754096041622749,1.1439360299992,0.93617878017367
"774","Dehcho South_v2","metaHeards",0.846344380802192,0.193521750017487,0.0453787252439222,0.0833938647497982,0.937010319178086,1.13291894958328,0.779126254617844,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2091",0.754096041622749,1.1439360299992,0.93617878017367
"775","GSA North","metaHeards",0.860573704627768,0.281988673827121,0.0470400578718903,0.105262860739881,1.0018254146727,1.25173836622805,0.803560937481256,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2091",0.803560937481256,1.2682459057883,1.00215223364767
"776","GSA North","metaHeards",0.860573704627768,0.281988673827121,0.0470400578718903,0.105262860739881,1.0018254146727,1.25173836622805,0.803560937481256,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2091",0.803560937481256,1.2682459057883,1.00215223364767
"777","GSA South","metaHeards",0.864210478606901,0.232326692306092,0.0369522283957673,0.0935873645108774,0.977794341121033,1.19476927928618,0.8266612084044,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2091",0.774785329529862,1.22599273265668,0.984298981221756
"778","GSA South","metaHeards",0.864210478606901,0.232326692306092,0.0369522283957673,0.0935873645108774,0.977794341121033,1.19476927928618,0.8266612084044,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2091",0.774785329529862,1.22599273265668,0.984298981221756
